id,Prioridad,Cantidad,Ventas,Descuento,Modo_envio,Margen,Utilidad,Precio_venta,Precio_costo,Costo_envio,Nombre_cliente,Region,Segmento,Categoria,Subcategoria,Producto,Empaque,fecha_envio
1,Baja,6,"407,81","0,040",Aereo regular,"0,45","174,168","70,80","38,94","35,00",Muhammed MacIntyre,Ecuador,Negocio,Elementos de oficina,Organizadores,"Eldon Base for stackable storage shelf, platinum",Caja larga,20/10/2018
2,Regular,2,"8,57","0,010",Aereo regular,"0,52","4,4134","4,33","2,08","2,56",Ruben Dartt,Bolivia,Corporativo,Elementos de oficina,Tijeras,Kleencut Forged Office Shears by Acme United Corporation,Paquete pequeno,21/02/2020
3,Alta,15,"264,82","0,040",Aereo regular,"0,54","137,916","18,39","8,46","8,99",Liz Pelletier,Paraguay,Corporativo,Tecnologia,Perifericos,"Imation 3.5 IBM Diskettes, 10/Box",Paquete pequeno,16/07/2019
4,Alta,26,"4.727,43","0,070",Aereo regular,"0,45","1931,6518","195,51","107,53","5,81",Liz Pelletier,Bolivia,Corporativo,Muebles,Mobiliario,"Tenex Contemporary Contur Chairmats for Low and Medium Pile Carpet, Computer, 39"" x 49""",Caja mediana,17/07/2019
5,Alta,24,"3.096,48","0,090",Terrestre,"0,50","1395,1152","141,78","70,89","89,30",Liz Pelletier,Bolivia,Corporativo,Muebles,Mesas,KI Conference Tables,Caja grande,16/07/2019
6,Alta,23,"271,36","0,040",Aereo regular,"0,35","87,5932","12,29","7,99","5,03",Liz Pelletier,Bolivia,Corporativo,Tecnologia,Telefonos,Bell Sonecor JB700 Caller ID,Caja mediana,17/07/2019
7,Regular,30,"576,18","0,030",Aereo regular,"0,54","302,88","19,80","9,11","2,25",Julie Creighton,Bolivia,Corporativo,Elementos de oficina,Boligrafos,Dixon Ticonderoga Core-Lock Colored Pencils,Bolsa,23/10/2019
8,Regular,14,"4.003,74","0,010",Aereo regular,"0,46","1819,8782","288,87","155,99","8,99",Julie Creighton,Bolivia,Corporativo,Tecnologia,Telefonos,CF 688,Caja pequena,24/10/2019
9,Critica,46,"4.630,59","0,100",Aereo regular,"0,41","1595,05","111,85","65,99","4,20",Sample Company A,Bolivia,Oficina en casa,Tecnologia,Telefonos,6162i,Caja pequena,2/11/2019
10,Critica,32,"6.851,22","0,020",Aereo regular,"0,47","3145,9392","218,47","115,79","1,99",Tamara Dahlen,Argentina,Corporativo,Tecnologia,Perifericos,"Verbatim DVD-R, 4.7GB, Spindle, WE, Blank, Ink Jet/Thermal, 20/Spindle",Paquete pequeno,18/03/2019
11,Baja,41,"191,77","0,090",Aereo regular,"0,44","73,6934","5,14","2,88","0,70",Arthur Gainer,Bolivia,Consumidor,Elementos de oficina,Boligrafos,Newell 340,Bolsa,19/01/2017
12,Regular,42,"1.876,60","0,090",Aereo regular,"0,37","577,542","49,10","30,93","3,92",Jonathan Doherty,Paraguay,Corporativo,Muebles,Mobiliario,"Advantus Employee of the Month Certificate Frame, 11 x 13-1/2",Paquete pequeno,5/06/2017
13,Regular,28,"71,43","0,030",Aereo expreso,"0,36","24,3908","2,63","1,68","0,70",Jonathan Doherty,Paraguay,Corporativo,Elementos de oficina,Boligrafos,Newell 308,Bolsa,5/06/2017
14,Baja,48,"157,37","0,030",Aereo regular,"0,45","68,0928","3,38","1,86","2,58",Helen Wasserman,Chile,Oficina en casa,Elementos de oficina,Ligas,"Super Bands, 12/Pack",Bolsa,22/12/2018
15,Baja,46,"14.757,05","0,050",Aereo regular,"0,39","5281,513","337,69","205,99","5,99",Helen Wasserman,Chile,Oficina en casa,Tecnologia,Telefonos,Polyproplyene Holder,Caja pequena,22/12/2018
16,Alta,37,"7.443,58","0,010",Aereo regular,"0,38","2781,9523","203,21","125,99","8,99",Keith Dawkins,Paraguay,Oficina en casa,Tecnologia,Telefonos,SC7868i,Caja pequena,18/04/2017
17,Normal,26,"127,87","0,030",Aereo regular,"0,43","52,7254","5,07","2,89","0,50",Craig Yedwab,Peru,Consumidor,Elementos de oficina,Etiquetas,Avery 498,Caja pequena,29/01/2018
